"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSMUSG00000021273",4374.69220533303,0.0396548059475777,0.0294969133078157,1.3443713765491,0.178828324987082,0.313949117212717
"ENSMUSG00000023903",12.8254619427633,0.16302426403576,0.121264258987141,1.34437191467148,0.178828151061576,0.313949117212717
"ENSMUSG00000079342",1.14485113047305,0.52040839564103,0.387111800332655,1.34433617160167,0.178839703784379,0.313949117212717
"ENSMUSG00000112557",110.690878686076,0.0796426871351905,0.0592617439885692,1.34391399535175,0.178976199798552,0.314160521672075
"ENSMUSG00000031927",5.62288988564732,0.48686392046933,0.362296338573876,1.34382787964624,0.179004051829942,0.314181200325332
"ENSMUSG00000022464",29.4844284653089,-0.158754162285244,0.118149646523117,-1.34367022633607,0.179055049312618,0.31424249564704
"ENSMUSG00000057788",807.749262270927,0.0438759355723627,0.0326648190019901,1.3432168587767,0.179201764259016,0.31447174950624
"ENSMUSG00000018983",34.6464592356743,0.184835702208192,0.137633561872124,1.34295516074722,0.179286493427348,0.314563961587795
"ENSMUSG00000083853",1.96306387877248,0.354592407507094,0.264030676623,1.34299700338762,0.17927294416382,0.314563961587795
"ENSMUSG00000030659",351.280105085845,-0.0570539241514736,0.0424920116289028,-1.34269764984875,0.179369896013304,0.314682051257658
"ENSMUSG00000112858",0.895809013498723,0.527233592471955,0.392845463744205,1.34208904297099,0.179567126149281,0.314999798016179
"ENSMUSG00000078903",551.027574200468,-0.0842496299891494,0.0627929993968379,-1.34170418356209,0.179691930022123,0.315190447734633
"ENSMUSG00000027384",906.541580724942,-0.0624980649054724,0.0465932063686333,-1.3413557421012,0.179804979725222,0.315303870528198
"ENSMUSG00000039253",1073.69109357071,-0.0353600680837574,0.0263606022291874,-1.34139834045997,0.179791156112593,0.315303870528198
"ENSMUSG00000096966",2.13115450312748,-0.340731380625885,0.25401403975166,-1.3413879837469,0.179794516901548,0.315303870528198
"ENSMUSG00000090841",8823.02304058623,0.0747070266254888,0.0557003433147969,1.34123099032394,0.179845467524721,0.315346582172461
